t x1 x2 x3 u1
0.5700000000000001 -0.001550000000000079 -0.029999999999999995 1.1616656250000073e-05 1.0
0.58 -0.0019000000000000683 -0.039999999999999994 1.1646229166666743e-05 1.0
0.59 -0.0023500000000000743 -0.04999999999999999 1.1691202083333412e-05 -0.0
0.6 -0.00280000000000008 -0.039999999999999994 1.1758108333333415e-05 -0.0
0.61 -0.0031500000000000694 -0.029999999999999995 1.184721458333342e-05 -0.0
0.62 -0.0034000000000000696 -0.019999999999999997 1.1955070833333424e-05 -0.0
0.63 -0.003550000000000081 -0.009999999999999998 1.207642708333343e-05 -0.0
0.64 -0.0036000000000000754 0.0 1.2204833333333435e-05 -0.0
0.65 -0.003550000000000081 0.009999999999999998 1.2333239583333441e-05 -0.0
0.66 -0.0034000000000000696 0.019999999999999997 1.2454595833333447e-05 -0.0
0.67 -0.0031500000000000694 0.029999999999999995 1.2562452083333452e-05 1.0
0.68 -0.002900000000000069 0.019999999999999997 1.2653508333333455e-05 1.0
0.6900000000000001 -0.002750000000000058 0.009999999999999998 1.2732864583333459e-05 -0.0
0.7000000000000001 -0.0026000000000000467 0.019999999999999997 1.2804887500000128e-05 -0.0
0.71 -0.0023500000000000465 0.029999999999999995 1.2866610416666796e-05 1.0
0.72 -0.0021000000000000463 0.019999999999999997 1.2915800000000131e-05 -0.0
0.73 -0.001850000000000046 0.029999999999999995 1.2955189583333467e-05 -0.0
0.74 -0.0015000000000000568 0.039999999999999994 1.2983629166666802e-05 -0.0
0.75 -0.001050000000000051 0.04999999999999999 1.3000268750000137e-05 -0.0
0.76 -0.000500000000000056 0.059999999999999984 1.300665833333347e-05 -0.0
0.77 0.00014999999999995572 0.06999999999999998 1.3007347916666804e-05 1.0
0.78 0.0007999999999999674 0.059999999999999984 1.3010037500000137e-05 1.0
0.79 0.0013499999999999623 0.04999999999999999 1.302202708333347e-05 1.0
0.8 0.0017999999999999683 0.039999999999999994 1.3047266666666802e-05 1.0
0.81 0.0021499999999999575 0.029999999999999995 1.3086706250000134e-05 1.0
0.8200000000000001 0.0023999999999999577 0.019999999999999997 1.3138895833333465e-05 1.0
0.8300000000000001 0.002549999999999969 0.009999999999999998 1.3200585416666797e-05 1.0
0.84 0.0025999999999999635 0.0 1.3267325000000128e-05 -0.0
0.85 0.002649999999999958 0.009999999999999998 1.3335797916666793e-05 -0.0
0.86 0.002799999999999969 0.019999999999999997 1.3409620833333457e-05 1.0
0.87 0.0029499999999999804 0.009999999999999998 1.3492777083333455e-05 -0.0
0.88 0.0030999999999999917 0.019999999999999997 1.358380000000012e-05 -0.0
0.89 0.003349999999999992 0.029999999999999995 1.3687322916666786e-05 -0.0
0.9 0.003699999999999981 0.039999999999999994 1.3811095833333452e-05 -0.0
0.91 0.004149999999999987 0.04999999999999999 1.3964668750000117e-05 -0.0
0.92 0.004699999999999982 0.059999999999999984 1.4159991666666782e-05 -0.0
0.93 0.005349999999999994 0.06999999999999998 1.4412014583333446e-05 1.0
0.9400000000000001 0.006000000000000005 0.059999999999999984 1.4735370833333445e-05 1.0
0.9500000000000001 0.00655 0.04999999999999999 1.5130427083333446e-05 1.0
0.96 0.007000000000000006 0.039999999999999994 1.5590733333333445e-05 1.0
0.97 0.007349999999999995 0.029999999999999995 1.6106839583333447e-05 1.0
0.98 0.007599999999999996 0.019999999999999997 1.6666895833333447e-05 1.0
0.99 0.007750000000000007 0.009999999999999998 1.7257252083333446e-05 1.0
1.0 0.007800000000000001 0.0 1.786305833333345e-05 1.0
